,Cantidad de energía demandada GWh,Cantidad de energía adjudicada GWh,Precio promedio ponderado adjudicado ($/KWh),trms,dias_contrato,dias_antes_inicio,nivel_embalse,ipp,productos,descripcion,cluster
10,8.76,2.38,311.49,4948.14,364,173,15081975900.0,170.9,CP-EEPC2022-003-PROD02,"EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP., está interesada en recibir ofertas para la venta o suministro de energía eléctrica para el período comprendido entre el 01 de enero del año 2023 al 31 de diciembre del año 2023, con el objetivo de abastecer la demanda comercial de energía de su Mercado Regulado.",-1
11,83.5,35.0,310.0,4968.94,1824,17,15053765800.0,170.9,CP-ENBC2022-001-PROD01,"ENERBIT (empresa del grupo ARGOS) invita a los interesados a presentar Oferta Mercantil para atender el suministro de energía con destino al Mercado Regulado, para el período 1 febrero 2023 al 31 diciembre 2027, según los términos y condiciones descritos en la presente convocatoria pública.",0
12,180.0,180.0,267.0,4968.94,1824,17,15053765800.0,170.9,CP-ENBC2022-001-PROD02,"ENERBIT (empresa del grupo ARGOS) invita a los interesados a presentar Oferta Mercantil para atender el suministro de energía con destino al Mercado Regulado, para el período 1 febrero 2023 al 31 diciembre 2027, según los términos y condiciones descritos en la presente convocatoria pública.",0
13,579.94,577.94,239.68,4968.94,5478,20,15053765800.0,170.9,CP-HLAC2022-002-PROD03,Suministro de energía y potencia asociada con destino al mercado regulado de ELECTROHUILA SA ESP para el período comprendido entre 01 de enero de 2023 al 31 de diciembre de 2037,0
14,43.92,25.68,302.3,4968.94,3651,14,15053765800.0,170.9,CP-EDPC2022-004-PROD03,"Suministro de energía y potencia para el producto 1 despacho FNCER vigencia 2023-2032, producto 2 y 3 despacho de energía y potencia vigencias 2023-2025",0
15,43.8,43.8,290.22,4968.94,3651,14,15053765800.0,170.9,CP-EDPC2022-004-PROD04,"Suministro de energía y potencia para el producto 1 despacho FNCER vigencia 2023-2032, producto 2 y 3 despacho de energía y potencia vigencias 2023-2025",0
16,675.12,675.12,295.3,4556.42,3652,82,14650962400.0,169.68,CP-CASC2022-002-PROD02,"La EMPRESA DE ENERGIA DE CASANARE S.A. E.S.P., invita a los interesados a presentar oferta para el suministro de energía y potencia eléctrica entre el periodo comprendido entre el 01 de enero de 2023 al 31 de Diciembre de 2032. Teniendo en cuenta los productos que se definen en este pliego.",-1
17,937.43,820.26,239.02,4556.42,3652,82,14650962400.0,169.68,CP-CASC2022-002-PROD03,"La EMPRESA DE ENERGIA DE CASANARE S.A. E.S.P., invita a los interesados a presentar oferta para el suministro de energía y potencia eléctrica entre el periodo comprendido entre el 01 de enero de 2023 al 31 de Diciembre de 2032. Teniendo en cuenta los productos que se definen en este pliego.",0
18,181.44,181.44,250.79,4556.42,3652,82,14650962400.0,169.68,CP-CASC2022-002-PROD04,"La EMPRESA DE ENERGIA DE CASANARE S.A. E.S.P., invita a los interesados a presentar oferta para el suministro de energía y potencia eléctrica entre el periodo comprendido entre el 01 de enero de 2023 al 31 de Diciembre de 2032. Teniendo en cuenta los productos que se definen en este pliego.",0
19,1680.0,253.64,270.0,4446.36,5113,64,15179831200.0,170.63,CP-EMIC2022-002-PROD01,"EMCALI EICE ESP, requiere el suministro de energía eléctrica y potencia para atender la demanda del mercado regulado, en el periodo comprendido entre el 1 de enero del 2023 al 31 de diciembre del 2036.",0
20,300.0,90.0,264.67,4446.36,5113,64,15179831200.0,170.63,CP-EMIC2022-002-PROD05,"EMCALI EICE ESP, requiere el suministro de energía eléctrica y potencia para atender la demanda del mercado regulado, en el periodo comprendido entre el 1 de enero del 2023 al 31 de diciembre del 2036.",0
22,46.58,36.9,312.0,4407.95,364,79,14802238300.0,170.63,CP-EPTC2022-002-PROD01,"EMPRESA DE ENERGIA DEL PUTUMAYO S.A E.S.P., solicita propuesta para contratar el suministro de energía y potencia para atender su Mercado Regulado. Se recibirán ofertas en la modalidad pague lo contratado , a partir del 1 de enero de 2023 al 31 de diciembre de 2023.",0
23,414.21,414.21,248.45,4413.86,5478,175,15034952000.0,170.63,CP-EEPC2022-002-PROD03,"EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP., está interesada en recibir ofertas para la venta o suministro de energía eléctrica para el período comprendido entre el 01 de enero del año 2023 al 31 de diciembre del año 2037, con el objetivo de abastecer la demanda comercial de energía de su Mercado Regulado.",0
24,57.84,57.84,264.33,4400.25,1825,69,15039358100.0,170.63,CP-RTQC2022-003-PROD01,RUITOQUE S.A E.S.P. requiere contratar el suministro de energía para atender su demanda regulada durante el periodo comprendido entre el 01 de enero de 2023 al 31 de diciembre de 2027.,0
25,23.7,8.5,275.31,4400.25,1825,69,15039358100.0,170.63,CP-RTQC2022-003-PROD02,RUITOQUE S.A E.S.P. requiere contratar el suministro de energía para atender su demanda regulada durante el periodo comprendido entre el 01 de enero de 2023 al 31 de diciembre de 2027.,0
26,796.32,712.88,252.21,4374.45,2191,66,14923592000.0,170.63,CP-EPMC2022-002-PROD04,"Recibir propuestas para el suministro de energía y potencia eléctricas requeridas para atender el mercado regulado de Empresas Públicas de Medellín E.S.P., incluyendo las pérdidas correspondientes en el Sistema de Transmisión Nacional, para el período 1 de enero de 2023 al 31 de diciembre de 2028.",0
27,813.95,638.38,245.76,4374.45,2191,66,14923592000.0,170.63,CP-EPMC2022-002-PROD05,"Recibir propuestas para el suministro de energía y potencia eléctricas requeridas para atender el mercado regulado de Empresas Públicas de Medellín E.S.P., incluyendo las pérdidas correspondientes en el Sistema de Transmisión Nacional, para el período 1 de enero de 2023 al 31 de diciembre de 2028.",0
28,831.53,801.7,237.87,4374.45,2191,66,14923592000.0,170.63,CP-EPMC2022-002-PROD06,"Recibir propuestas para el suministro de energía y potencia eléctricas requeridas para atender el mercado regulado de Empresas Públicas de Medellín E.S.P., incluyendo las pérdidas correspondientes en el Sistema de Transmisión Nacional, para el período 1 de enero de 2023 al 31 de diciembre de 2028.",0
29,338.1,327.9,278.38,4399.16,1095,66,14989586600.0,170.63,CP-GNCC2022-002-PROD01,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas del día 1 de enero de 2023 hasta las 24:00 del día 31 de diciembre de 2025.,0
30,191.3,191.3,282.0,4399.16,1095,66,14989586600.0,170.63,CP-GNCC2022-002-PROD02,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas del día 1 de enero de 2023 hasta las 24:00 del día 31 de diciembre de 2025.,0
31,285.4,285.4,280.91,4399.16,1095,66,14989586600.0,170.63,CP-GNCC2022-002-PROD03,VATIA S.A E.S.P. -VATIA- está interesada en recibir ofertas para la contratación del suministro de energía eléctrica con destino a atender la demanda del mercado regulado en el periodo comprendido desde las 00:00 horas del día 1 de enero de 2023 hasta las 24:00 del día 31 de diciembre de 2025.,0
33,17.71,17.71,292.25,4331.15,355,-119,9973302300.0,161.18,CP-NEUC2022-008-PROD01,"contratar el suministro de la energía eléctrica para atender parte de su mercado regulado para el período comprendido entre el 1 de octubre de 2022, o a partir de la fecha en que efectivamente el contrato quede registrado ante el ASIC, y el 31 de diciembre de 2022",-1
34,17.71,17.71,292.25,3771.63,355,-119,9973302300.0,161.18,CP-NEUC2022-008-PROD01,"contratar el suministro de la energía eléctrica para atender parte de su mercado regulado para el período comprendido entre el 1 de octubre de 2022, o a partir de la fecha en que efectivamente el contrato quede registrado ante el ASIC, y el 31 de diciembre de 2022",-1
36,338.0,338.0,266.94,4307.09,4007,-253,14700392400.0,169.68,CP-EXEC2022-001-PROD01,Suministro de energía desde noviembre del 2022 a diciembre del 2032 y Producto pague lo demandado desde NOV-2022 hasta DIC-2027 y pague lo contratado desde ENE-2028 hasta DIC-2032 por un total de 2333 GWh por todo el contrato.,0
37,338.0,338.0,266.94,4388.27,4007,-253,14700392400.0,169.68,CP-EXEC2022-001-PROD01,Suministro de energía desde noviembre del 2022 a diciembre del 2032 y Producto pague lo demandado desde NOV-2022 hasta DIC-2027 y pague lo contratado desde ENE-2028 hasta DIC-2032 por un total de 2333 GWh por todo el contrato.,0
38,1008.0,1008.0,237.74,4307.09,4007,-253,14700392400.0,169.68,CP-EXEC2022-001-PROD02,Suministro de energía desde noviembre del 2022 a diciembre del 2032 y Producto pague lo demandado desde NOV-2022 hasta DIC-2027 y pague lo contratado desde ENE-2028 hasta DIC-2032 por un total de 2333 GWh por todo el contrato.,-1
39,1008.0,1008.0,237.74,4388.27,4007,-253,14700392400.0,169.68,CP-EXEC2022-001-PROD02,Suministro de energía desde noviembre del 2022 a diciembre del 2032 y Producto pague lo demandado desde NOV-2022 hasta DIC-2027 y pague lo contratado desde ENE-2028 hasta DIC-2032 por un total de 2333 GWh por todo el contrato.,-1
40,3857.0,3857.0,249.11,4461.63,4007,-210,14711875900.0,166.99,CP-CMMC2022-002-PROD02,CARIBEMAR DE LA COSTA solicita energía para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 1 de noviembre de 2022 al 31 de diciembre de 2032.,-1
41,545.39,545.39,248.73,4315.41,3652,145,14499288000.0,166.99,CP-CNSC2022-002-PROD05,"RECIBIR PROPUESTAS PARA EL SUMINISTRO DE ENERGÍA Y POTENCIA ELÉCTRICA REQUERIDAS PARA ATENDER EL MERCADO REGULADO CENS, MODALIDAD PAGUE LO CONTRATADO, PARA LA VIGENCIA DEL 1 DE ENERO 2023 AL 31 DE DICIEMBRE DE 2032. EL PRODUCTO 1 ES EXLUSIVO FNCER (PND Y RESOLUCIONES MME 4 0715-2019 Y 40060-2021)",0
42,28.86,28.86,259.93,4068.75,1094,867,13525067800.0,166.51,CP-CETC2022-001-PROD01,Contratar energía con destino al mercado regulado de COMPANIA DE ELECTRICIDAD DE TULUA S.A. E.S.P. para el periodo 2025 - 2027,1
43,13.07,13.07,242.55,4068.75,1094,867,13525067800.0,166.51,CP-CETC2022-001-PROD02,Contratar energía con destino al mercado regulado de COMPANIA DE ELECTRICIDAD DE TULUA S.A. E.S.P. para el periodo 2025 - 2027,1
44,35.75,35.75,237.21,4068.75,1094,867,13525067800.0,166.51,CP-CETC2022-001-PROD03,Contratar energía con destino al mercado regulado de COMPANIA DE ELECTRICIDAD DE TULUA S.A. E.S.P. para el periodo 2025 - 2027,1
45,213.73,213.74,243.93,3923.96,1094,816,13324054200.0,166.51,CP-EPSC2022-001-PROD02,"Suministro de energía y potencia eléctrica, en el período comprendido entre el 1 de enero del año 2025 al 31 de diciembre del año 2027 para atender su mercado regulado.",1
46,422.28,422.28,236.72,3923.96,1094,816,13324054200.0,166.51,CP-EPSC2022-001-PROD03,"Suministro de energía y potencia eléctrica, en el período comprendido entre el 1 de enero del año 2025 al 31 de diciembre del año 2027 para atender su mercado regulado.",1
47,398.3,398.3,248.24,4016.5,2921,268,13140142200.0,166.51,CP-ESSC2022-002-PROD04,"ESSA está interesada en recibir propuestas para el suministro de energía y potencia eléctrica requeridas para atender su mercado regulado, bajo la modalidad páguelo contratado, para el periodo del 1 de enero de 2023 al 31 de diciembre de 2030. Aplican todas las tecnologías incluidas FNCER.",0
48,101.0,101.0,357.0,4053.93,500,30,14338326300.0,166.99,CP-PEEC2022-002-PROD01,"PROFESIONALES EN ENERGÍA S.A. E.S.P. PEESA está interesada en recibir ofertas para el suministro de energía y potencia eléctrica, en el período comprendido entre las 00:00 horas del 18 de Agosto de 2022 hasta las 24:00 horas del día 31 de diciembre del año 2023.",0
49,101.0,101.0,357.0,3799.5,500,30,14338326300.0,166.99,CP-PEEC2022-002-PROD01,"PROFESIONALES EN ENERGÍA S.A. E.S.P. PEESA está interesada en recibir ofertas para el suministro de energía y potencia eléctrica, en el período comprendido entre las 00:00 horas del 18 de Agosto de 2022 hasta las 24:00 horas del día 31 de diciembre del año 2023.",0
55,2289.6,2289.6,229.38,3774.79,5834,-200,10947345200.0,153.41,CP-CHCC2022-001-PROD02,"Suministro de energía y potencia eléctricas requeridas para atender el mercado regulado, incluyendo las pérdidas correspondientes en el Sistema de Transmisión Nacional, para los períodos comprendidos entre 01 de octubre de 2022 al 31 de diciembre de 2022 y el 01 de enero de 2027 al 31 de diciembre de 2037",-1
56,2289.6,2289.6,229.38,3791.74,5834,-200,10947345200.0,153.41,CP-CHCC2022-001-PROD02,"Suministro de energía y potencia eléctricas requeridas para atender el mercado regulado, incluyendo las pérdidas correspondientes en el Sistema de Transmisión Nacional, para los períodos comprendidos entre 01 de octubre de 2022 al 31 de diciembre de 2022 y el 01 de enero de 2027 al 31 de diciembre de 2037",-1
57,444.32,3.47,285.0,3959.05,3643,-185,12194294400.0,163.99,CP-HLAC2022-001-PROD03,Suministro de energía y potencia asociada con destino al mercado regulado de ELECTROHUILA SA ESP para el período comprendido entre 01 de septiembre de 2022 al 31 de diciembre de 2031,-1
58,773.0,240.0,246.27,3959.05,5470,-193,12194294400.0,163.99,CP-ENDC2022-001-PROD03,"ENEL COLOMBIA S.A. ESP invita a los interesados a presentar oferta mercantil para el suministro de energía entre el 1 de septiembre de 2022 y el 31 de diciembre de 2036, para atender su mercado regulado.",0
59,7455.0,4100.0,230.39,3959.05,5470,-193,12194294400.0,163.99,CP-ENDC2022-001-PROD04,"ENEL COLOMBIA S.A. ESP invita a los interesados a presentar oferta mercantil para el suministro de energía entre el 1 de septiembre de 2022 y el 31 de diciembre de 2036, para atender su mercado regulado.",-1
60,156.48,12.79,282.24,4054.71,3652,172,12008820000.0,163.99,CP-CDNC2022-002-PROD01,CEDENAR S.A. E.S.P. está interesado en recibir ofertas para comprar energía eléctrica con el fin de atender la demanda de su mercado regulado actual y potencial para el periodo comprendido entre el 01 de enero de 2023 a 31 de diciembre de 2032,0
61,45.86,26.35,290.42,4054.71,3652,172,12008820000.0,163.99,CP-CDNC2022-002-PROD02,CEDENAR S.A. E.S.P. está interesado en recibir ofertas para comprar energía eléctrica con el fin de atender la demanda de su mercado regulado actual y potencial para el periodo comprendido entre el 01 de enero de 2023 a 31 de diciembre de 2032,0
62,8.78,8.78,231.08,4110.53,1087,-210,11679583200.0,163.99,CP-RTQC2022-002-PROD01,COMPRA DE ENERGÍA ELÉCTRICA CON DESTINO AL MERCADO REGULADO DE RUITOQUE PARA EL PERÍODO DEL 01 DE SEPTIEMBRE DE 2022 AL 31 DICIEMBRE DE 2024,0
63,2.28,2.28,235.8,4110.53,1087,-210,11679583200.0,163.99,CP-RTQC2022-002-PROD02,COMPRA DE ENERGÍA ELÉCTRICA CON DESTINO AL MERCADO REGULADO DE RUITOQUE PARA EL PERÍODO DEL 01 DE SEPTIEMBRE DE 2022 AL 31 DICIEMBRE DE 2024,0
64,136.17,56.73,248.95,4085.76,4009,2,14652618500.0,170.9,CP-EDQC2022-001-PROD01,"EDEQ S.A. ESP invita a los interesados a presentar oferta(s) mercantil(es) para el suministro de energía y potencia eléctricas requerida para atender el mercado regulado, para el período comprendido entre el 01 de septiembre de 2022 y el 31 de diciembre de 2032.",0
65,206.08,206.08,233.2,4085.76,4009,2,14652618500.0,170.9,CP-EDQC2022-001-PROD02,"EDEQ S.A. ESP invita a los interesados a presentar oferta(s) mercantil(es) para el suministro de energía y potencia eléctricas requerida para atender el mercado regulado, para el período comprendido entre el 01 de septiembre de 2022 y el 31 de diciembre de 2032.",0
66,138.23,32.74,233.92,4085.76,4009,2,14652618500.0,170.9,CP-EDQC2022-001-PROD04,"EDEQ S.A. ESP invita a los interesados a presentar oferta(s) mercantil(es) para el suministro de energía y potencia eléctricas requerida para atender el mercado regulado, para el período comprendido entre el 01 de septiembre de 2022 y el 31 de diciembre de 2032.",0
67,105.49,30.07,278.57,4085.76,4009,2,14652618500.0,170.9,CP-EDQC2022-001-PROD05,"EDEQ S.A. ESP invita a los interesados a presentar oferta(s) mercantil(es) para el suministro de energía y potencia eléctricas requerida para atender el mercado regulado, para el período comprendido entre el 01 de septiembre de 2022 y el 31 de diciembre de 2032.",0
68,181.02,122.42,278.72,4086.08,2556,186,12612297600.0,166.51,CP-EPTC2022-001-PROD01,"EMPRESA DE ENERGIA DEL PUTUMAYO S.A E.S.P., abre la CONVOCATORIA PUBLICA CP-EPTC2022-001, para contratar el suministro de energía y potencia para atender su Mercado Regulado.Se recibirán ofertas en la modalidad pague lo contratado , a partir del 1 de enero de 2023 al 31 de diciembre de 2029.",0
69,3652.0,53.7,262.0,3931.74,2550,-30,10657451000.0,161.18,CP-CSSC2022-002-PROD03,"Air-e se permite invitar bajo los términos y condiciones establecidos en la Resolución CREG 130 de 2019, a las empresas interesadas en presentar oferta para atender parte de la demanda de su mercado regulado durante el periodo comprendido entre el 01 de julio de 2022 al 31 de diciembre de 2028.",-1
70,33.34,33.34,239.72,3755.85,1453,-241,10040353900.0,161.18,CP-CQTC2022-002-PROD01,"COMPRA DEL SUMINISTRO DE ENERGIA Y POTENCIA ELECTRICA PARA ATENDER EL MERCADO REGULADO DE ELECTROCAQUETA S.A ESP., PARA EL PERIODO COMPRENDIDO ENTRE LAS 00:00 HORAS DEL DIA 1RO DE AGOSTO DEL 2022 HASTA LAS 11:59 PM DEL DIA 31 DE DICIEMBRE DEL 2025.",0
71,233.62,233.62,272.52,3746.51,1825,215,14267832200.0,166.99,CP-EBPC2022-001-PROD01,"Suministro de energía (curva y plana) para el mercado, para el periodo 01-01-2023 al 31-12-2027.",0
72,1.4,0.57,240.0,3756.03,4010,-130,13205058100.0,147.55,CP-TPLC2022-003-PROD01,TERPEL ENERGÍA S.A.S. E.S.P. invita a los interesados a presentar oferta mercantil para el suministro de energía entre el 1 de agosto de 2022 y el 31 de diciembre de 2032.,0
73,90.6,67.3,244.15,3756.03,4010,-130,13205058100.0,147.55,CP-TPLC2022-003-PROD04,TERPEL ENERGÍA S.A.S. E.S.P. invita a los interesados a presentar oferta mercantil para el suministro de energía entre el 1 de agosto de 2022 y el 31 de diciembre de 2032.,0
74,156.15,130.25,249.0,3820.67,5837,-332,9822632800.0,157.66,CP-CNSC2022-001-PROD01,"RECIBIR PROPUESTAS PARA EL SUMINISTRO DE ENERGÍA Y POTENCIA ELÉCTRICA REQUERIDAS PARA ATENDER EL MERCADO REGULADO CENS, MODALIDAD PAGUE LO CONTRATADO, PARA LA VIGENCIA DEL 1 DE JULIO DE 2022 AL 31 DE DICIEMBRE DE 2037. LOS PRODUCTOS 1,2 Y 3 SON EXCLUSIVOS DE FNCER (PND Y RESOLUCIONES MME 4 0715-2019 Y 40060-2021)",2
75,431.76,357.98,232.79,3820.67,5837,-332,9822632800.0,157.66,CP-CNSC2022-001-PROD02,"RECIBIR PROPUESTAS PARA EL SUMINISTRO DE ENERGÍA Y POTENCIA ELÉCTRICA REQUERIDAS PARA ATENDER EL MERCADO REGULADO CENS, MODALIDAD PAGUE LO CONTRATADO, PARA LA VIGENCIA DEL 1 DE JULIO DE 2022 AL 31 DE DICIEMBRE DE 2037. LOS PRODUCTOS 1,2 Y 3 SON EXCLUSIVOS DE FNCER (PND Y RESOLUCIONES MME 4 0715-2019 Y 40060-2021)",2
76,783.42,783.42,234.3,3820.67,5837,-332,9822632800.0,157.66,CP-CNSC2022-001-PROD03,"RECIBIR PROPUESTAS PARA EL SUMINISTRO DE ENERGÍA Y POTENCIA ELÉCTRICA REQUERIDAS PARA ATENDER EL MERCADO REGULADO CENS, MODALIDAD PAGUE LO CONTRATADO, PARA LA VIGENCIA DEL 1 DE JULIO DE 2022 AL 31 DE DICIEMBRE DE 2037. LOS PRODUCTOS 1,2 Y 3 SON EXCLUSIVOS DE FNCER (PND Y RESOLUCIONES MME 4 0715-2019 Y 40060-2021)",2
77,40.51,38.93,240.9,3820.67,5837,-332,9822632800.0,157.66,CP-CNSC2022-001-PROD04,"RECIBIR PROPUESTAS PARA EL SUMINISTRO DE ENERGÍA Y POTENCIA ELÉCTRICA REQUERIDAS PARA ATENDER EL MERCADO REGULADO CENS, MODALIDAD PAGUE LO CONTRATADO, PARA LA VIGENCIA DEL 1 DE JULIO DE 2022 AL 31 DE DICIEMBRE DE 2037. LOS PRODUCTOS 1,2 Y 3 SON EXCLUSIVOS DE FNCER (PND Y RESOLUCIONES MME 4 0715-2019 Y 40060-2021)",2
78,56.04,11.21,259.0,3820.67,5837,-332,9822632800.0,157.66,CP-CNSC2022-001-PROD06,"RECIBIR PROPUESTAS PARA EL SUMINISTRO DE ENERGÍA Y POTENCIA ELÉCTRICA REQUERIDAS PARA ATENDER EL MERCADO REGULADO CENS, MODALIDAD PAGUE LO CONTRATADO, PARA LA VIGENCIA DEL 1 DE JULIO DE 2022 AL 31 DE DICIEMBRE DE 2037. LOS PRODUCTOS 1,2 Y 3 SON EXCLUSIVOS DE FNCER (PND Y RESOLUCIONES MME 4 0715-2019 Y 40060-2021)",2
79,3420.93,3093.68,227.59,3820.67,5837,-332,9822632800.0,157.66,CP-CNSC2022-001-PROD07,"RECIBIR PROPUESTAS PARA EL SUMINISTRO DE ENERGÍA Y POTENCIA ELÉCTRICA REQUERIDAS PARA ATENDER EL MERCADO REGULADO CENS, MODALIDAD PAGUE LO CONTRATADO, PARA LA VIGENCIA DEL 1 DE JULIO DE 2022 AL 31 DE DICIEMBRE DE 2037. LOS PRODUCTOS 1,2 Y 3 SON EXCLUSIVOS DE FNCER (PND Y RESOLUCIONES MME 4 0715-2019 Y 40060-2021)",-1
80,93.56,93.56,275.26,3787.18,1090,-97,14832389900.0,169.68,CP-NEUC2022-003-PROD01,suministro de la energía eléctrica para atender parte del mercado regulado de el comprador para el período comprendido entre el 1 de junio de 2022 y el 31 de diciembre de 2024,0
81,154.5,154.5,261.91,3787.18,1090,-97,14832389900.0,169.68,CP-NEUC2022-003-PROD02,suministro de la energía eléctrica para atender parte del mercado regulado de el comprador para el período comprendido entre el 1 de junio de 2022 y el 31 de diciembre de 2024,0
82,32.28,32.28,254.72,3787.18,1090,-97,14832389900.0,169.68,CP-NEUC2022-003-PROD03,suministro de la energía eléctrica para atender parte del mercado regulado de el comprador para el período comprendido entre el 1 de junio de 2022 y el 31 de diciembre de 2024,0
91,611.73,490.54,216.9,3771.77,3652,330,9815087500.0,161.18,CP-EPMC2022-001-PROD01,"Recibir propuestas para el suministro de energía y potencia eléctricas requeridas para atender el mercado regulado de EPM, incluyendo las pérdidas correspondientes en el Sistema de Transmisión Nacional, para el período 1 de enero de 2023 al 31 de diciembre de 2032.",0
92,4893.86,3855.68,244.31,3771.77,3652,330,9815087500.0,161.18,CP-EPMC2022-001-PROD02,"Recibir propuestas para el suministro de energía y potencia eléctricas requeridas para atender el mercado regulado de EPM, incluyendo las pérdidas correspondientes en el Sistema de Transmisión Nacional, para el período 1 de enero de 2023 al 31 de diciembre de 2032.",-1
93,521.2,124.47,266.24,3771.77,3652,330,9815087500.0,161.18,CP-EPMC2022-001-PROD04,"Recibir propuestas para el suministro de energía y potencia eléctricas requeridas para atender el mercado regulado de EPM, incluyendo las pérdidas correspondientes en el Sistema de Transmisión Nacional, para el período 1 de enero de 2023 al 31 de diciembre de 2032.",0
94,1575.73,1566.51,257.83,3771.77,3652,330,9815087500.0,161.18,CP-EPMC2022-001-PROD05,"Recibir propuestas para el suministro de energía y potencia eléctricas requeridas para atender el mercado regulado de EPM, incluyendo las pérdidas correspondientes en el Sistema de Transmisión Nacional, para el período 1 de enero de 2023 al 31 de diciembre de 2032.",3
95,1619.33,1619.33,236.7,3771.77,3652,330,9815087500.0,161.18,CP-EPMC2022-001-PROD06,"Recibir propuestas para el suministro de energía y potencia eléctricas requeridas para atender el mercado regulado de EPM, incluyendo las pérdidas correspondientes en el Sistema de Transmisión Nacional, para el período 1 de enero de 2023 al 31 de diciembre de 2032.",3
96,1663.0,1663.0,228.42,3771.77,3652,330,9815087500.0,161.18,CP-EPMC2022-001-PROD07,"Recibir propuestas para el suministro de energía y potencia eléctricas requeridas para atender el mercado regulado de EPM, incluyendo las pérdidas correspondientes en el Sistema de Transmisión Nacional, para el período 1 de enero de 2023 al 31 de diciembre de 2032.",3
