,Productos,Cantidad de energía demandada GWh,Cantidad de energía adjudicada GWh,Precio promedio ponderado adjudicado ($/KWh),periodo_inicio,periodo_fin,descripcion,union,CodigoConvocatoria,CodigoSicAgente,NombreAgenteComprador,FechaPublicacionAviso,PeriodoAContratar,FechaInicio,FechaFin,DuracionDias,meses,FechaPliegosParaConsulta,FechaPliegosDefinitivos,FechaLimiteRecepcionOfertas,AudienciaPublica,FechaMaximaFormalizacionContratos,Estado,TipoMercado,ExclusivaFNCER,FechaSuspension,FechaReactivacion,FechaCancelacion,FechaCierreConvocatoria
11,CP-CSSC2024-004-PROD09,0.0,0.0,0.0,01/08/2024,31/12/2037,Air-e esta interesado en recibir propuesta para el mercado regulado en periodo comprendido desde 1 de agosto de 2024 hasta 31 de Diciembre 2037.,CP-CSSC2024-004/Air-e/CSSC/01%2F08%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-004,CSSC,Air-e,30/05/2024,01/08/2024 al 31/12/2037,01/08/2024,31/12/2037,4900.0,161.0958904109589,30/05/2024,13/06/2024,21/06/2024,05/07/2024,17/07/2024,Cerrada y adjudicada,Regulado,NO,,,,25/07/2024
12,CP-CSSC2024-004-PROD10,0.0,0.0,0.0,01/08/2024,31/12/2037,Air-e esta interesado en recibir propuesta para el mercado regulado en periodo comprendido desde 1 de agosto de 2024 hasta 31 de Diciembre 2037.,CP-CSSC2024-004/Air-e/CSSC/01%2F08%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-004,CSSC,Air-e,30/05/2024,01/08/2024 al 31/12/2037,01/08/2024,31/12/2037,4900.0,161.0958904109589,30/05/2024,13/06/2024,21/06/2024,05/07/2024,17/07/2024,Cerrada y adjudicada,Regulado,NO,,,,25/07/2024
13,CP-CSSC2024-004-PROD11,0.0,0.0,0.0,01/08/2024,31/12/2037,Air-e esta interesado en recibir propuesta para el mercado regulado en periodo comprendido desde 1 de agosto de 2024 hasta 31 de Diciembre 2037.,CP-CSSC2024-004/Air-e/CSSC/01%2F08%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-004,CSSC,Air-e,30/05/2024,01/08/2024 al 31/12/2037,01/08/2024,31/12/2037,4900.0,161.0958904109589,30/05/2024,13/06/2024,21/06/2024,05/07/2024,17/07/2024,Cerrada y adjudicada,Regulado,NO,,,,25/07/2024
14,CP-CSSC2024-004-PROD12,0.0,0.0,0.0,01/08/2024,31/12/2037,Air-e esta interesado en recibir propuesta para el mercado regulado en periodo comprendido desde 1 de agosto de 2024 hasta 31 de Diciembre 2037.,CP-CSSC2024-004/Air-e/CSSC/01%2F08%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-004,CSSC,Air-e,30/05/2024,01/08/2024 al 31/12/2037,01/08/2024,31/12/2037,4900.0,161.0958904109589,30/05/2024,13/06/2024,21/06/2024,05/07/2024,17/07/2024,Cerrada y adjudicada,Regulado,NO,,,,25/07/2024
15,CP-CSSC2024-004-PROD13,0.0,0.0,0.0,01/08/2024,31/12/2037,Air-e esta interesado en recibir propuesta para el mercado regulado en periodo comprendido desde 1 de agosto de 2024 hasta 31 de Diciembre 2037.,CP-CSSC2024-004/Air-e/CSSC/01%2F08%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-004,CSSC,Air-e,30/05/2024,01/08/2024 al 31/12/2037,01/08/2024,31/12/2037,4900.0,161.0958904109589,30/05/2024,13/06/2024,21/06/2024,05/07/2024,17/07/2024,Cerrada y adjudicada,Regulado,NO,,,,25/07/2024
16,CP-CSSC2024-004-PROD14,0.0,0.0,0.0,01/08/2024,31/12/2037,Air-e esta interesado en recibir propuesta para el mercado regulado en periodo comprendido desde 1 de agosto de 2024 hasta 31 de Diciembre 2037.,CP-CSSC2024-004/Air-e/CSSC/01%2F08%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-004,CSSC,Air-e,30/05/2024,01/08/2024 al 31/12/2037,01/08/2024,31/12/2037,4900.0,161.0958904109589,30/05/2024,13/06/2024,21/06/2024,05/07/2024,17/07/2024,Cerrada y adjudicada,Regulado,NO,,,,25/07/2024
17,CP-CSSC2024-004-PROD15,0.0,0.0,0.0,01/08/2024,31/12/2037,Air-e esta interesado en recibir propuesta para el mercado regulado en periodo comprendido desde 1 de agosto de 2024 hasta 31 de Diciembre 2037.,CP-CSSC2024-004/Air-e/CSSC/01%2F08%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-004,CSSC,Air-e,30/05/2024,01/08/2024 al 31/12/2037,01/08/2024,31/12/2037,4900.0,161.0958904109589,30/05/2024,13/06/2024,21/06/2024,05/07/2024,17/07/2024,Cerrada y adjudicada,Regulado,NO,,,,25/07/2024
18,CP-CSSC2024-004-PROD16,0.0,0.0,0.0,01/08/2024,31/12/2037,Air-e esta interesado en recibir propuesta para el mercado regulado en periodo comprendido desde 1 de agosto de 2024 hasta 31 de Diciembre 2037.,CP-CSSC2024-004/Air-e/CSSC/01%2F08%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-004,CSSC,Air-e,30/05/2024,01/08/2024 al 31/12/2037,01/08/2024,31/12/2037,4900.0,161.0958904109589,30/05/2024,13/06/2024,21/06/2024,05/07/2024,17/07/2024,Cerrada y adjudicada,Regulado,NO,,,,25/07/2024
19,CP-CSSC2024-004-PROD17,0.0,0.0,0.0,01/08/2024,31/12/2037,Air-e esta interesado en recibir propuesta para el mercado regulado en periodo comprendido desde 1 de agosto de 2024 hasta 31 de Diciembre 2037.,CP-CSSC2024-004/Air-e/CSSC/01%2F08%2F2024/31%2F12%2F2037/false/Regulado,CP-CSSC2024-004,CSSC,Air-e,30/05/2024,01/08/2024 al 31/12/2037,01/08/2024,31/12/2037,4900.0,161.0958904109589,30/05/2024,13/06/2024,21/06/2024,05/07/2024,17/07/2024,Cerrada y adjudicada,Regulado,NO,,,,25/07/2024
20,CP-EBSC2024-003-PROD01,,,,01/01/2025,31/12/2039,"Productos 1, 2 y 4 cuya energía sea proveniente de cualquier fuente de energía. Producto 3 cuya energía sea proveniente de fuentes no convencionales de energía renovable - FNCER.",CP-EBSC2024-003/EBSA/EBSC/01%2F01%2F2025/31%2F12%2F2039/false/Regulado,CP-EBSC2024-003,EBSC,EBSA,21/05/2024,01/01/2025 al 31/12/2039,01/01/2025,31/12/2039,5477.0,180.06575342465754,22/05/2024,04/06/2024,18/06/2024,02/07/2024,19/07/2024,Cerrada y adjudicada,Regulado,NO,,,,22/07/2024
21,CP-EBSC2024-003-PROD04,1906.0,572.0,304.0,01/01/2025,31/12/2039,"Productos 1, 2 y 4 cuya energía sea proveniente de cualquier fuente de energía. Producto 3 cuya energía sea proveniente de fuentes no convencionales de energía renovable - FNCER.",CP-EBSC2024-003/EBSA/EBSC/01%2F01%2F2025/31%2F12%2F2039/false/Regulado,CP-EBSC2024-003,EBSC,EBSA,21/05/2024,01/01/2025 al 31/12/2039,01/01/2025,31/12/2039,5477.0,180.06575342465754,22/05/2024,04/06/2024,18/06/2024,02/07/2024,19/07/2024,Cerrada y adjudicada,Regulado,NO,,,,22/07/2024
22,CP-EBSC2024-003-PROD05,,,,01/01/2025,31/12/2039,"Productos 1, 2 y 4 cuya energía sea proveniente de cualquier fuente de energía. Producto 3 cuya energía sea proveniente de fuentes no convencionales de energía renovable - FNCER.",CP-EBSC2024-003/EBSA/EBSC/01%2F01%2F2025/31%2F12%2F2039/false/Regulado,CP-EBSC2024-003,EBSC,EBSA,21/05/2024,01/01/2025 al 31/12/2039,01/01/2025,31/12/2039,5477.0,180.06575342465754,22/05/2024,04/06/2024,18/06/2024,02/07/2024,19/07/2024,Cerrada y adjudicada,Regulado,NO,,,,22/07/2024
23,CP-EBSC2024-003-PROD06,3741.0,2245.0,303.0,01/01/2025,31/12/2039,"Productos 1, 2 y 4 cuya energía sea proveniente de cualquier fuente de energía. Producto 3 cuya energía sea proveniente de fuentes no convencionales de energía renovable - FNCER.",CP-EBSC2024-003/EBSA/EBSC/01%2F01%2F2025/31%2F12%2F2039/false/Regulado,CP-EBSC2024-003,EBSC,EBSA,21/05/2024,01/01/2025 al 31/12/2039,01/01/2025,31/12/2039,5477.0,180.06575342465754,22/05/2024,04/06/2024,18/06/2024,02/07/2024,19/07/2024,Cerrada y adjudicada,Regulado,NO,,,,22/07/2024
24,CP-RTQC2024-002-PROD01,341.0,9.0,318.0,01/08/2024,31/12/2028,RUITOQUE S.A E.S.P. requiere contratar el suministro de energía para atender su demanda regulada durante el periodo comprendido entre el 01 de agosto de 2024 al 31 de diciembre de 2028,CP-RTQC2024-002/RUITOQUE/RTQC/01%2F08%2F2024/31%2F12%2F2028/false/Regulado,CP-RTQC2024-002,RTQC,RUITOQUE,07/05/2024,01/08/2024 al 31/12/2028,01/08/2024,31/12/2028,1613.0,53.03013698630137,07/05/2024,20/05/2024,04/06/2024,18/06/2024,04/07/2024,Cerrada y adjudicada,Regulado,NO,,,,09/07/2024
25,CP-RTQC2024-002-PROD02,,,,01/08/2024,31/12/2028,RUITOQUE S.A E.S.P. requiere contratar el suministro de energía para atender su demanda regulada durante el periodo comprendido entre el 01 de agosto de 2024 al 31 de diciembre de 2028,CP-RTQC2024-002/RUITOQUE/RTQC/01%2F08%2F2024/31%2F12%2F2028/false/Regulado,CP-RTQC2024-002,RTQC,RUITOQUE,07/05/2024,01/08/2024 al 31/12/2028,01/08/2024,31/12/2028,1613.0,53.03013698630137,07/05/2024,20/05/2024,04/06/2024,18/06/2024,04/07/2024,Cerrada y adjudicada,Regulado,NO,,,,09/07/2024
26,CP-BIAC2024-001-PROD01,,,,01/01/2025,31/12/2029,El objeto de este documento es invitar a las empresas interesadas en presentar propuestas para el suministro de la energía eléctrica que BIA ENERGY requiere para atender parte de la demanda de su mercado regulado.,CP-BIAC2024-001/BIAE/BIAC/01%2F01%2F2025/31%2F12%2F2029/false/Regulado,CP-BIAC2024-001,BIAC,BIAE,02/05/2024,01/01/2025 al 31/12/2029,01/01/2025,31/12/2029,1825.0,60.0,02/05/2024,15/05/2024,29/05/2024,13/06/2024,27/06/2024,Cerrada y adjudicada,Regulado,NO,,,,10/07/2024
27,CP-BIAC2024-001-PROD02,201.0,40.0,320.0,01/01/2025,31/12/2029,El objeto de este documento es invitar a las empresas interesadas en presentar propuestas para el suministro de la energía eléctrica que BIA ENERGY requiere para atender parte de la demanda de su mercado regulado.,CP-BIAC2024-001/BIAE/BIAC/01%2F01%2F2025/31%2F12%2F2029/false/Regulado,CP-BIAC2024-001,BIAC,BIAE,02/05/2024,01/01/2025 al 31/12/2029,01/01/2025,31/12/2029,1825.0,60.0,02/05/2024,15/05/2024,29/05/2024,13/06/2024,27/06/2024,Cerrada y adjudicada,Regulado,NO,,,,10/07/2024
28,CP-BIAC2024-001-PROD03,158.0,31.0,310.0,01/01/2025,31/12/2029,El objeto de este documento es invitar a las empresas interesadas en presentar propuestas para el suministro de la energía eléctrica que BIA ENERGY requiere para atender parte de la demanda de su mercado regulado.,CP-BIAC2024-001/BIAE/BIAC/01%2F01%2F2025/31%2F12%2F2029/false/Regulado,CP-BIAC2024-001,BIAC,BIAE,02/05/2024,01/01/2025 al 31/12/2029,01/01/2025,31/12/2029,1825.0,60.0,02/05/2024,15/05/2024,29/05/2024,13/06/2024,27/06/2024,Cerrada y adjudicada,Regulado,NO,,,,10/07/2024
29,CP-BIAC2024-001-PROD04,,,,01/01/2025,31/12/2029,El objeto de este documento es invitar a las empresas interesadas en presentar propuestas para el suministro de la energía eléctrica que BIA ENERGY requiere para atender parte de la demanda de su mercado regulado.,CP-BIAC2024-001/BIAE/BIAC/01%2F01%2F2025/31%2F12%2F2029/false/Regulado,CP-BIAC2024-001,BIAC,BIAE,02/05/2024,01/01/2025 al 31/12/2029,01/01/2025,31/12/2029,1825.0,60.0,02/05/2024,15/05/2024,29/05/2024,13/06/2024,27/06/2024,Cerrada y adjudicada,Regulado,NO,,,,10/07/2024
30,CP-ENDC2024-001-PROD01,10126.0,3271.0,319.0,01/01/2025,31/12/2038,"ENEL COLOMBIA S.A. ESP invita a los interesados a presentar oferta mercantil para el suministro de energía entre el 1 de enero de 2024 y el 31 de diciembre de 2038, para atender su mercado regulado.",CP-ENDC2024-001/ENEL/ENDC/01%2F01%2F2025/31%2F12%2F2038/false/Regulado,CP-ENDC2024-001,ENDC,ENEL,22/04/2024,01/01/2025 al 31/12/2038,01/01/2025,31/12/2038,5112.0,168.06575342465754,24/04/2024,07/05/2024,22/05/2024,05/06/2024,19/06/2024,Cerrada y adjudicada,Regulado,NO,,,,09/07/2024
31,CP-ENDC2024-001-PROD02,18662.0,2780.0,289.0,01/01/2025,31/12/2038,"ENEL COLOMBIA S.A. ESP invita a los interesados a presentar oferta mercantil para el suministro de energía entre el 1 de enero de 2024 y el 31 de diciembre de 2038, para atender su mercado regulado.",CP-ENDC2024-001/ENEL/ENDC/01%2F01%2F2025/31%2F12%2F2038/false/Regulado,CP-ENDC2024-001,ENDC,ENEL,22/04/2024,01/01/2025 al 31/12/2038,01/01/2025,31/12/2038,5112.0,168.06575342465754,24/04/2024,07/05/2024,22/05/2024,05/06/2024,19/06/2024,Cerrada y adjudicada,Regulado,NO,,,,09/07/2024
32,CP-ENDC2024-001-PROD03,4702.0,149.0,301.0,01/01/2025,31/12/2038,"ENEL COLOMBIA S.A. ESP invita a los interesados a presentar oferta mercantil para el suministro de energía entre el 1 de enero de 2024 y el 31 de diciembre de 2038, para atender su mercado regulado.",CP-ENDC2024-001/ENEL/ENDC/01%2F01%2F2025/31%2F12%2F2038/false/Regulado,CP-ENDC2024-001,ENDC,ENEL,22/04/2024,01/01/2025 al 31/12/2038,01/01/2025,31/12/2038,5112.0,168.06575342465754,24/04/2024,07/05/2024,22/05/2024,05/06/2024,19/06/2024,Cerrada y adjudicada,Regulado,NO,,,,09/07/2024
33,CP-NEUC2024-003-PROD01,,,,01/07/2024,31/12/2040,"Suministro de energía eléctrica, para atender su mercado regulado en el período comprendido entre el 1 de julio del año 2024 y el 31 de diciembre del año 2040, modalidad pague lo contratado",CP-NEUC2024-003/NEU/NEUC/01%2F07%2F2024/31%2F12%2F2040/false/Mixto,CP-NEUC2024-003,NEUC,NEU,22/04/2024,01/07/2024 al 31/12/2040,01/07/2024,31/12/2040,6027.0,198.14794520547946,22/04/2024,25/04/2024,10/05/2024,24/05/2024,12/06/2024,Cerrada y adjudicada,Mixto,NO,,,,25/06/2024
34,CP-NEUC2024-003-PROD02,,,,01/07/2024,31/12/2040,"Suministro de energía eléctrica, para atender su mercado regulado en el período comprendido entre el 1 de julio del año 2024 y el 31 de diciembre del año 2040, modalidad pague lo contratado",CP-NEUC2024-003/NEU/NEUC/01%2F07%2F2024/31%2F12%2F2040/false/Mixto,CP-NEUC2024-003,NEUC,NEU,22/04/2024,01/07/2024 al 31/12/2040,01/07/2024,31/12/2040,6027.0,198.14794520547946,22/04/2024,25/04/2024,10/05/2024,24/05/2024,12/06/2024,Cerrada y adjudicada,Mixto,NO,,,,25/06/2024
35,CP-NEUC2024-003-PROD03,1344.0,1337.0,295.0,01/07/2024,31/12/2040,"Suministro de energía eléctrica, para atender su mercado regulado en el período comprendido entre el 1 de julio del año 2024 y el 31 de diciembre del año 2040, modalidad pague lo contratado",CP-NEUC2024-003/NEU/NEUC/01%2F07%2F2024/31%2F12%2F2040/false/Mixto,CP-NEUC2024-003,NEUC,NEU,22/04/2024,01/07/2024 al 31/12/2040,01/07/2024,31/12/2040,6027.0,198.14794520547946,22/04/2024,25/04/2024,10/05/2024,24/05/2024,12/06/2024,Cerrada y adjudicada,Mixto,NO,,,,25/06/2024
36,CP-CNSC2024-001-PROD01,240.0,240.0,353.0,01/01/2025,31/12/2028,"El objeto de esta Solicitud Pública de Ofertas es recibir propuestas para el suministro de energía y potencia eléctrica requeridas para atender el mercado regulado de CENS, incluyendo las pérdidas correspondientes en el Sistema de Transmisión Nacional, para el 01 de enero de 2025 al 31 de diciembre de 2028.",CP-CNSC2024-001/CENS/CNSC/01%2F01%2F2025/31%2F12%2F2028/false/Regulado,CP-CNSC2024-001,CNSC,CENS,22/04/2024,01/01/2025 al 31/12/2028,01/01/2025,31/12/2028,1460.0,48.0,23/04/2024,06/05/2024,21/05/2024,04/06/2024,24/06/2024,Cerrada y adjudicada,Regulado,NO,,,,04/07/2024
37,CP-CNSC2024-001-PROD02,503.0,203.0,329.0,01/01/2025,31/12/2028,"El objeto de esta Solicitud Pública de Ofertas es recibir propuestas para el suministro de energía y potencia eléctrica requeridas para atender el mercado regulado de CENS, incluyendo las pérdidas correspondientes en el Sistema de Transmisión Nacional, para el 01 de enero de 2025 al 31 de diciembre de 2028.",CP-CNSC2024-001/CENS/CNSC/01%2F01%2F2025/31%2F12%2F2028/false/Regulado,CP-CNSC2024-001,CNSC,CENS,22/04/2024,01/01/2025 al 31/12/2028,01/01/2025,31/12/2028,1460.0,48.0,23/04/2024,06/05/2024,21/05/2024,04/06/2024,24/06/2024,Cerrada y adjudicada,Regulado,NO,,,,04/07/2024
38,CP-CNSC2024-001-PROD03,548.0,148.0,320.0,01/01/2025,31/12/2028,"El objeto de esta Solicitud Pública de Ofertas es recibir propuestas para el suministro de energía y potencia eléctrica requeridas para atender el mercado regulado de CENS, incluyendo las pérdidas correspondientes en el Sistema de Transmisión Nacional, para el 01 de enero de 2025 al 31 de diciembre de 2028.",CP-CNSC2024-001/CENS/CNSC/01%2F01%2F2025/31%2F12%2F2028/false/Regulado,CP-CNSC2024-001,CNSC,CENS,22/04/2024,01/01/2025 al 31/12/2028,01/01/2025,31/12/2028,1460.0,48.0,23/04/2024,06/05/2024,21/05/2024,04/06/2024,24/06/2024,Cerrada y adjudicada,Regulado,NO,,,,04/07/2024
39,CP-CNSC2024-001-PROD04,568.0,308.0,305.0,01/01/2025,31/12/2028,"El objeto de esta Solicitud Pública de Ofertas es recibir propuestas para el suministro de energía y potencia eléctrica requeridas para atender el mercado regulado de CENS, incluyendo las pérdidas correspondientes en el Sistema de Transmisión Nacional, para el 01 de enero de 2025 al 31 de diciembre de 2028.",CP-CNSC2024-001/CENS/CNSC/01%2F01%2F2025/31%2F12%2F2028/false/Regulado,CP-CNSC2024-001,CNSC,CENS,22/04/2024,01/01/2025 al 31/12/2028,01/01/2025,31/12/2028,1460.0,48.0,23/04/2024,06/05/2024,21/05/2024,04/06/2024,24/06/2024,Cerrada y adjudicada,Regulado,NO,,,,04/07/2024
40,CP-ENIC2024-001-PROD01,7.0,7.0,347.0,01/07/2024,31/12/2034,"ENELAR E.S.P. deja a disposición de los interesados, mediante convocatoria publica, cinco productos encaminados a suplir la demanda de energía entre el 1 de julio de 2024 y el 31 de diciembre de 2034.",CP-ENIC2024-001/ENELAR/ENIC/01%2F07%2F2024/31%2F12%2F2034/false/Regulado,CP-ENIC2024-001,ENIC,ENELAR,15/04/2024,01/07/2024 al 31/12/2034,01/07/2024,31/12/2034,3835.0,126.08219178082192,15/04/2024,25/04/2024,09/05/2024,22/05/2024,11/06/2024,Cerrada y adjudicada,Regulado,NO,,,,19/06/2024
41,CP-ENIC2024-001-PROD02,22.0,4.0,366.0,01/07/2024,31/12/2034,"ENELAR E.S.P. deja a disposición de los interesados, mediante convocatoria publica, cinco productos encaminados a suplir la demanda de energía entre el 1 de julio de 2024 y el 31 de diciembre de 2034.",CP-ENIC2024-001/ENELAR/ENIC/01%2F07%2F2024/31%2F12%2F2034/false/Regulado,CP-ENIC2024-001,ENIC,ENELAR,15/04/2024,01/07/2024 al 31/12/2034,01/07/2024,31/12/2034,3835.0,126.08219178082192,15/04/2024,25/04/2024,09/05/2024,22/05/2024,11/06/2024,Cerrada y adjudicada,Regulado,NO,,,,19/06/2024
42,CP-ENIC2024-001-PROD03,662.0,120.0,330.0,01/07/2024,31/12/2034,"ENELAR E.S.P. deja a disposición de los interesados, mediante convocatoria publica, cinco productos encaminados a suplir la demanda de energía entre el 1 de julio de 2024 y el 31 de diciembre de 2034.",CP-ENIC2024-001/ENELAR/ENIC/01%2F07%2F2024/31%2F12%2F2034/false/Regulado,CP-ENIC2024-001,ENIC,ENELAR,15/04/2024,01/07/2024 al 31/12/2034,01/07/2024,31/12/2034,3835.0,126.08219178082192,15/04/2024,25/04/2024,09/05/2024,22/05/2024,11/06/2024,Cerrada y adjudicada,Regulado,NO,,,,19/06/2024
43,CP-ENIC2024-001-PROD04,,,,01/07/2024,31/12/2034,"ENELAR E.S.P. deja a disposición de los interesados, mediante convocatoria publica, cinco productos encaminados a suplir la demanda de energía entre el 1 de julio de 2024 y el 31 de diciembre de 2034.",CP-ENIC2024-001/ENELAR/ENIC/01%2F07%2F2024/31%2F12%2F2034/false/Regulado,CP-ENIC2024-001,ENIC,ENELAR,15/04/2024,01/07/2024 al 31/12/2034,01/07/2024,31/12/2034,3835.0,126.08219178082192,15/04/2024,25/04/2024,09/05/2024,22/05/2024,11/06/2024,Cerrada y adjudicada,Regulado,NO,,,,19/06/2024
